District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3
Abbott ISD,https://www.abbottisd.org/apps/news/article/1185917,,False,,2020-03-23,2020-03-27,False,False,False,False,False,False,False,False,,,,,,
Abilene ISD,School Website,Details: Only children who are in the vehicle at the time of pickup will be allowed to get a meal. All children in the vehicle – whether on free-and-reduced lunch or not – will be allowed to get a meal.,True,"Martinez Elementary, Johnston Elementary, Bowie Elementary, Clark Middle School, Craig Middle School, Madison Middle School, Mann Middle School",2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:00 AM,9:00 AM,11:00 AM,1:00 PM,,
Academy ISD,https://www.academyisd.net/apps/news/article/1184650,,False,Academy Intermediate School  Campus,2020-03-01,2020-03-20,False,False,True,False,False,True,False,False,11:00 AM,12:30 PM,,,,
Adrian ISD,,,False,,2020-03-13,2020-03-23,False,False,False,False,False,False,False,False,,,,,,
Alamo Heights ISD,http://www.ahisd.net/news/what_s_new/drive-_thru_meal_service,Details:  Families should arrive at the front of the school and drive through the Meal Pick-Up line,False,Alamo Heights Junior School,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,10:00 AM,12:00 PM,8:00 AM,10:00 AM,,
Alba-Golden ISD,https://www.agisd.com/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Aldine ISD,https://www.aldineisd.org/,,False,"Aldine High School, Blanson CTE High School, Carver High School, Davis Senior High School, Eisenhower Senior High School, MacArthur Senior High School, Nimitz Senior High School, Aldine Middle School, Garcia Middle School, Jones Middle School, Mead Middle School, Shotwell Middle School, Teague Middle School, Anderson Academy, Carroll Elementary, Ermel Elementary, Escamilla Elementary, Francis Elementary, Greenspoint Elementary, Harris Elementary, Jones Elementary and Kujawa Elementary",2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,10:00 AM,1:00 PM,,,,
Alief ISD,https://www.aliefisd.net/Page/13906,,False,"Bush Elementary School, Heflin Elementary School, Horn Elementary School, Smith Elementary School, and Alief Middle School",2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,9:00 AM,,,,,
Allen ISD,https://www.allenisd.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=5753&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=111267&PageID=1,Details: Families may remain in their cars to pick-up meals curbside at the front of designated campus sites. One meal will be provided for each Allen ISD student,False, Boyd Elementary School,2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:00 AM,12:30 PM,,
Alto ISD,https://www.alto.esc7.net/,Details:  To ensure adequate meal preparation,False,Elementary School Pick,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,11:30 AM,1:00 PM,,,,
