District Name,Dates Closed,School Meal Alternative,When & Where Meals Are Available,
Abbott ISD,March 23-27,,,https://www.abbottisd.org/apps/news/article/1185917
Abilene ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:00 AM – 9:00 AM ; 11:00 AM – 1:00 PM
Where: Martinez Elementary, Johnston Elementary, Bowie Elementary, Clark Middle School, Craig Middle School, Madison Middle School, Mann Middle School
Details: Only children who are in the vehicle at the time of pickup will be allowed to get a meal. All children in the vehicle – whether on free-and-reduced lunch or not – will be allowed to get a meal.
",School Website
Academy ISD,Through March 20,Meal Pickup (Lunch Only),Start Date: 3/16                                                                                                                                                                When: Lunch 11:00 AM - 12:30 PM                                                                                                                           Where: Academy Intermediate School  Campus ,https://www.academyisd.net/apps/news/article/1184650
Adrian ISD,March 13-23,,,
Alamo Heights ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"**Meal service provided for students who currently receive free or reduced-price meals**
Start Date: 3/16
When: Breakfast & Lunch 10:00 AM – 12:00 PM (3/16 only) ; Breakfast and Lunch 8:00 AM – 10:00 AM (after 3/16)
Where: Alamo Heights Junior School
Details:  Families should arrive at the front of the school and drive through the Meal Pick-Up line, located at the north entrance of the cafeteria. 
",http://www.ahisd.net/news/what_s_new/drive-_thru_meal_service
Alba-Golden ISD,March 16-20,,,https://www.agisd.com/
Aldine ISD,March 16- April 10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16                                                                                                                                                           When:10:00 AM - 1:00 PM (or while supplies last) Mondays and Thursday 
Where: Aldine High School, Blanson CTE High School, Carver High School, Davis Senior High School, Eisenhower Senior High School, MacArthur Senior High School, Nimitz Senior High School, Aldine Middle School, Garcia Middle School, Jones Middle School, Mead Middle School, Shotwell Middle School, Teague Middle School, Anderson Academy, Carroll Elementary, Ermel Elementary, Escamilla Elementary, Francis Elementary, Greenspoint Elementary, Harris Elementary, Jones Elementary and Kujawa Elementary
Instructions: 3 breakfast meals and 3 lunch meals per child at pick up                                                                                         
",https://www.aldineisd.org/
Alief ISD,March 16 - April 10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/23
When: 9:00 AM until all meals have been distributed (first come, first serve)
Where: Bush Elementary School, Heflin Elementary School, Horn Elementary School, Smith Elementary School, and Alief Middle School
Instructions: Children must be present in the car to pick up meals. ",https://www.aliefisd.net/Page/13906
Allen ISD,March 16 - April 3,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16                                                                                                                                                           When: Breakfast 7:30 AM - 8:30 AM ; Lunch 11:00 AM - 12:30 PM                                                                           Where:  Boyd Elementary School (800 Jupiter Road) and Rountree Elementary School (800 East Main Street).                                                  Details: Families may remain in their cars to pick-up meals curbside at the front of designated campus sites. One meal will be provided for each Allen ISD student, including middle and high school students.",https://www.allenisd.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=5753&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=111267&PageID=1
Alto ISD,March 16-20,Walk-In Meal Pickup (Breakfast & Lunch) ,"Start Date: 3/16                                                                                                                                                            When: Breakfast & Lunch 11:30 AM – 1:00 PM                                                                                                       
 Where: Elementary School Pick-up line                                                                                                                         Details:  To ensure adequate meal preparation, we are asking families to call between 8:00-9:00 a.m., Monday, March 16, if your family plans on taking advantage of this opportunity. Please call 936-858-7126 and give the number of student meals your household will need. ",https://www.alto.esc7.net/
Alvin ISD,March 16- April 10,Curbside Meal Pickup (Lunch Only),"Start Date:  3/23 - 3/27
When: 11:00 AM - 1:00 PM
Where: Stevenson Primary, Passmore Elementary, Manvel Jr. High, and Rodeo Palms Jr. High
Instructions: meal consists of lunch and breakfast fo rthe next morning. Friday meals will be breakfast and lunch for Saturday and Sunday  ",https://www.alvinisd.net/Domain/287
Alvin ISD,March 16 - April 10,Food Pickup at The Well Food Pantry,"Start Date: 3/16
When: 10:00 AM – 6:00 PM
Where: The Church on Masters Road (6911 Masters Rd, Manvel) 
",
Angleton ISD,March 16- April 10,Bus Meal Delivery and Food Pickup ,"Start Date: 3/18
When & Where: 
Curbside meals at Central Elementary School: 10:00 AM - 2:00 PM
Bus Schedule: on school updates, or on facebook: https://www.facebook.com/AngletonISD
Details: Delivery will run the process similar to Summer Fueled Program. Meals will run from 4 buses making multiple stops. Call 979-864-8012 for more information or check Angleton ISD Facebook or website. Two meals will be provided-Lunch today and Breakfast tomorrow 
",https://www.angletonisd.net/
"Anna ISD        
",March 16-20,,Start Date: 3/17,
Anthony ISD,March 23-April 4,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/23
When: Breakfast 7:45 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM 
Where: MS/HS Cafeteria
Details: The meals are available for children ages 18 years and younger. The child must be present
",https://www.anthonyisd.net/corona-virus.html
Anuhuac ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM
Where: High School Cafeteria Parking lot
",https://sites.google.com/aisdpanthers.com/anahuacisd/information-for-covid-19?authuser=0
Aquilla ISD,Through March 20,,,
Arlington ISD,Through March 30,"Pickup Meals
(Breakfast & Lunch)","Start Date: 3/16 
When: 11:00 AM - 1:00 PM
Where: Dipert Career + Technical Center, Sam Houston High School, Ferguson Education Center, Bailey Jr. High, Barnett Jr. High, Boles Jr. High, Nichols Jr. High, Ousley Jr. High, Shackelford Jr. High, Workman Jr. High, Young Jr. High, Crouch Elementary, Farrell Elementary, Knox Elementary, Larson Elementary, Miller Elementary, Pope Elementary, Sherrod Elementary, Short Elementary, Speer Elementary, Starrett Elementary, Swift Elementary, Wood Elementary
Details: Each day during the closure, children 18 years of age or younger will be provided one packaged lunch meal and one light breakfast meal for the following morning. One entree will be offered for each meal; a non-meat option is available. Menus will be posted online daily.","https://www.aisd.net/coronavirus/student-meal-plan-during-school-closure/
https://www.aisd.net/district-news/arlington-isd-continuing-to-feed-students/?fbclid=IwAR19c2Krj8OspT7dYXz2MkarmggqweREbKmX3jcDt2dpiBg1ZIyJZeFdsBU "
Arp ISD,March 16-20,,,http://home.arpisd.org/
Atlanta ISD,March 16-20,,,https://www.atlisd.net/125822_2?articleID=50390
Austin Achieve Public Schools,March 23-April 4,Walk-In Meal Pickup (Brekafast & Lunch),"Start Date: 3/23/20                                                                                                                                  When: Breakfast 8:00 AM - 10:00 AM ; Lunch 11:00 AM - 1:00 PM                                                                    Where: Austin Achieve Middle School, Austin Achieve Elementary School and Austin Achieve High School                                                                  Details: All students (up to 18 years old) will be provided two meals a day Additional details will be shared as they become available. Please monitor our website, social media accounts for updates.","austinachieve.org
"
Austin ISD,March 13-April 3,Curbside Meal Pickup and Delivery (Breakfast & Lunch),"Start Date: 3/23
When: Breakfast & Lunch 11:00 AM – 2:00 PM  
Where: Blackshear Elementary School, Blanton Elementary School, Cook Elementary School, Dawson Elementary School, Govalle Elementary School, Houston Elementary School, Linder Elementary School, Perez Elementary School, Pleasant Hill Elementary School, T.A. Brown Elementary School, Burnet Middle School, Dobie Middle School, Akins Early College High School, Crockett Early College High School, Eastside Memorial Early College High School, LBJ Early College High School
When & Where for Bus Delivery: The schedule can be found here: https://www.austinisd.org/student-health/coronavirus/meals
Details: Each child may receive one breakfast and one lunch meal, daily. Parents and caregivers accompanying their children may receive daily breakfast and lunch meals.  Children, parents and caregivers may also receive a weekend pack on Fridays, to help provide additional food security.  Children, parents and caregivers must be present to receive meals. Food is available until it runs out. For the bus delivery, Austin ISD school buses will visit each of the sites for 15-20 minutes for meal distribution.  Families are encouraged to arrive at the sites 10 minutes prior to the bus arrival.  Children, parents and caregivers will pick up their meals from the school bus, lining up 6 feet from the door of the bus and 6 feet from each other.  To help ensure food does not run out, please fill out a pre-order form found here: https://www.austinisd.org/student-health/coronavirus/meals
",https://www.austinisd.org/student-health/coronavirus/meals
Avalon ISD,March 16-20,,,https://www.avalonisd.net/apps/news/article/1184733
Avinger ISD,March 16-20,,,https://www.avingerisd.net/
Azle ISD ,March 23 - April 3,"Pickup Meals 
(Breakfast & Lunch)","Start Date: 3/23
When: 8:00-10:00 AM Breakfast & Lunch served together; 12:00-1:00 PM second lunch service 
Where: Azle High School, Eagle Heights Elementary, Pelican Bay Park
Details: 18 and younger eat free (children must be present). $3.70 for anyone older than 18",https://www.facebook.com/azleisd/?__tn__=%2Cd%2CP-R&eid=ARBupGbndqg-Oq4UoRjh4LmX4v3GBYn90iVLVRRbW1mj5xVYWE-FuiTJE2puePOYUjceGjt1ToS_gRyF 
Bandera ISD,March 16-20,,,https://www.banderaisd.net/apps/news/article/1184502
Bangs ISD,March 16-20,,,https://www.bangsisd.net
Barbers Hill ISD,March 16-Indefinite,Unknown,,
Bastrop ISD,March 16-April 5,Pending,"Over the next several days, we will send additional information on our plans to provide education and resources, as well as child nutrition services, to our students. In the meantime, please enjoy your spring break and take care of your health.",https://www.bisdtx.org/cms/lib/TX02218757/Centricity/Domain/2911/FAMILY%20-%20Closure%20Notice%203-16-20.pdf
