org_id,org_link,org_name,org_url,address_street,phone_number,po_box,city,state,zip
3,/find-your-local-foodbank/food-bank-of-alaska-inc.html,"Food Bank of Alaska, Inc.",http://www.foodbankofalaska.org,2121 Spar Avenue,907-272-3663,,Anchorage,AK,99501
3,/find-your-local-foodbank/food-bank-of-alaska-inc.html,Fairbanks Community Food Bank,http://www.fairbanksfoodbank.org,725 26th Ave.,907-457-4273,,Fairbanks,AK,99701
3,/find-your-local-foodbank/food-bank-of-alaska-inc.html,Kenai Peninsula Food Bank,http://kpfoodbank.org,33955 Community College Dr,907-262-3111,,Soldotna,AK,99669
3,/find-your-local-foodbank/food-bank-of-alaska-inc.html,Southeast Alaska Food Bank,http://www.sealaskafoodbank.org,10020 Crazy Horse Drive,907-789-6184,,Juneau,AK,99803
8,/find-your-local-foodbank/community-food-bank-of-central-alabama.html,Community Food Bank of Central Alabama,http://www.feedingal.org,107 Walter Davis Drive,205-942-8911,,Birmingham,AL,35209
146,/find-your-local-foodbank/food-bank-of-north-alabama.html,Food Bank of North Alabama,http://www.foodbanknorthal.org/,2000 B. Vernon Ave.,256-539-2256,P.O. Box 18607,Huntsville,AL,35805
54,/find-your-local-foodbank/montgomery-area-food-bank-inc.html,"Montgomery Area Food Bank, Inc.",http://www.montgomeryareafoodbank.org,521 Trade Center Street,334-263-3784,,Montgomery,AL,36108
54,/find-your-local-foodbank/montgomery-area-food-bank-inc.html,West Alabama Food Bank,http://www.westalabamafoodbank.org/,3160 McFarland Blvd,205-333-5353,,Northport,AL,35476
54,/find-your-local-foodbank/montgomery-area-food-bank-inc.html,Selma Area Food Bank,http://www.selmafoodbank.com/,497 Oak St.,334-872-4111,,Selma,AL,36701
54,/find-your-local-foodbank/montgomery-area-food-bank-inc.html,Food Bank of East Alabama,http://www.foodbankofeastalabama.com,375 Industry Drive,334-821-9006,,Auburn,AL,36832
54,/find-your-local-foodbank/montgomery-area-food-bank-inc.html,Wiregrass Area Food Bank,http://www.wiregrassfoodbank.com/,382 Twitchell Road,334-794-9775,,Dothan,AL,36303
52,/find-your-local-foodbank/feeding-the-gulf-coast.html,Feeding the Gulf Coast,http://www.feedingthegulfcoast.org,5248 Mobile South Street,251-653-1617,,Theodore,AL,36582
611,/find-your-local-foodbank/northwest-arkansas-food-bank.html,Northwest Arkansas Food Bank,http://www.NWAfoodbank.org,1378 June Self Drive,479-872-8774,,Heights,AR,72764
138,/find-your-local-foodbank/river-valley-regional-food-bank.html,River Valley Regional Food Bank,http://www.rvrfoodbank.org/,1617 South Zero Street,479-785-0582,PO Box 180070,Smith,AR,72918
151,/find-your-local-foodbank/food-bank-of-northeast-arkansas.html,Food Bank of Northeast Arkansas,http://www.foodbankofnea.org,3414 One Place,870-932-3663,P.O. Box 2097,Jonesboro,AR,72402
151,/find-your-local-foodbank/food-bank-of-northeast-arkansas.html,Food Bank of North Central Arkansas,http://www.foodbanknca.org/,1042 Highland Circle,870-499-7565,P.O. Box 2097,Home,AR,72653
43,/find-your-local-foodbank/arkansas-foodbank.html,Arkansas Foodbank,http://www.arkansasfoodbank.org/,4301 W 65th St,501-565-8121,,Rock,AR,72209
316,/find-your-local-foodbank/harvest-regional-food-bank-inc.html,"Harvest Regional Food Bank, Inc.",http://www.harvestregionalfoodbank.org,3120 East 19th Street,870-774-1398,P.O. Box 707,Texarkana,AR,71854
164,/find-your-local-foodbank/united-food-bank.html,United Food Bank,http://www.unitedfoodbank.org,245 South Nina Drive,480-926-4897,,Mesa,AZ,85210
319,/find-your-local-foodbank/st-marys-food-bank-alliance.html,St. Mary's Food Bank Alliance,http://www.firstfoodbank.org,2831 N. 31st Avenue,602-242-3663,,Phoenix,AZ,85009
91,/find-your-local-foodbank/community-food-bank-of-southern-arizona.html,Community Food Bank of Southern Arizona,http://www.communityfoodbank.org,3003 South Country Club Road,520-622-0525,,Tucson,AZ,85713
603,/find-your-local-foodbank/yuma-community-food-bank.html,Yuma Community Food Bank,http://www.yumafoodbank.org,2404 E 24th St. Ste. A,928-343-1243,,Yuma,AZ,85365
22,/find-your-local-foodbank/food-bank-of-contra-costa-and-solano.html,Food Bank of Contra Costa and Solano,http://www.foodbankccs.org,4010 Nelson Ave,925-676-7543,,Concord,CA,94520
22,/find-your-local-foodbank/food-bank-of-contra-costa-and-solano.html,Community Action of Napa Valley Food Bank,http://www.canv.org,1766 Industrial Way,707-253-6128,,Napa,CA,94558
22,/find-your-local-foodbank/food-bank-of-contra-costa-and-solano.html,Dignity Health Connected,,200 Mercy Oaks Drive,530-226-3071,,Redding,CA,96003
22,/find-your-local-foodbank/food-bank-of-contra-costa-and-solano.html,Yuba/Sutter Gleaners Food Bank,http://www.yuba-sutterfoodbank.com/,760 Stafford Way,530-673-3834,,City,CA,95991
22,/find-your-local-foodbank/food-bank-of-contra-costa-and-solano.html,Yolo Food Bank,http://www.yolofoodbank.org,233 Harter Avenue,530-668-0609,,Woodland,CA,95776
22,/find-your-local-foodbank/food-bank-of-contra-costa-and-solano.html,Sacramento Food Bank &amp; Family Services,http://www.sacramentofoodbank.org/,3333 Third Ave.,916-456-1980,,Sacramento,CA,95817
281,/find-your-local-foodbank/central-california-food-bank.html,Central California Food Bank,http://ccfoodbank.org/,4010 E. Hardy Ave,559-237-2527,,Fresno,CA,93725
281,/find-your-local-foodbank/central-california-food-bank.html,Community Action Partnership of Kern Food Bank,http://www.capk.org,5005 Business Park North,661-398-4520,,Bakersfield,CA,93309
113,/find-your-local-foodbank/find-food-bank.html,FIND Food Bank,http://www.FINDfoodbank.org,83-775 Citrus Ave,760-775-3663,P.O. Box 10080,Indio,CA,92202
64,/find-your-local-foodbank/second-harvest-food-bank-of-orange-county.html,Second Harvest Food Bank of Orange County,http://www.FeedOC.org,8014 Marine Way,949-653-2900,,Irvine,CA,92618
45,/find-your-local-foodbank/los-angeles-regional-food-bank.html,Los Angeles Regional Food Bank,http://www.lafoodbank.org,1734 E. 41st Street,323-234-3030,,Angeles,CA,90058
199,/find-your-local-foodbank/second-harvest-food-bank-of-san-joaquin-and-stanislaus-counties.html,Second Harvest Food Bank of San Joaquin and Stanislaus Counties,http://www.localfoodbank.org,1220 Vanderbilt Cir,209-239-2091,,Manteca,CA,95337
199,/find-your-local-foodbank/second-harvest-food-bank-of-san-joaquin-and-stanislaus-counties.html,Amador Tuolumne Community Action Agency (ATCAS),http://www.atcaa.org,10059 Victoria Way,209-984-3960,,Jamestown,CA,95642
199,/find-your-local-foodbank/second-harvest-food-bank-of-san-joaquin-and-stanislaus-counties.html,Merced County Food Bank,http://www.mercedcountyfoodbank.org,2000 W Olive Ave,209-726-3663,,Merced,CA,95348
199,/find-your-local-foodbank/second-harvest-food-bank-of-san-joaquin-and-stanislaus-counties.html,The Resource Connection Food Bank,http://www.trcac.org,"206 George Reed Drive, PO Box 1656",209-754-3114,,Andreas,CA,95249
169,/find-your-local-foodbank/alameda-county-community-food-bank.html,Alameda County Community Food Bank,http://www.accfb.org,7900 Edgewater Drive,510-635-3663,P.O. Box 2599,Oakland,CA,94621
66,/find-your-local-foodbank/food-share-of-ventura-county.html,Food Share of Ventura County,http://www.foodshare.com,4156 Southbank Road,805-983-7100,,Oxnard,CA,93036
73,/find-your-local-foodbank/feeding-america-riverside-san-bernardino-counties.html,Feeding America Riverside San Bernardino Counties,http://feedingie.org/,2950 - A Jefferson Street,951-359-4757,,Riverside,CA,92504
178,/find-your-local-foodbank/placer-food-bank.html,Placer Food Bank,http://www.placerfoodbank.org,8284 Industrial Ave,916-783-0481,,Roseville,CA,95678
225,/find-your-local-foodbank/food-bank-for-monterey-county.html,Food Bank for Monterey County,http://www.foodbankformontereycounty.org,"815 W. Market Street, Suite 5",831-758-1523,,Salinas,CA,93901
77,/find-your-local-foodbank/feeding-san-diego.html,Feeding San Diego,http://www.feedingsandiego.org,"9455 Waples Street, Suite 135",858-452-3663,,Diego,CA,92121
77,/find-your-local-foodbank/feeding-san-diego.html,Imperial Valley Food Bank,http://ivfoodbank.org,486 W. Aten Rd,760-370-0966,,Imperial,CA,92251
78,/find-your-local-foodbank/sf-marin-food-banks.html,SF-Marin Food Banks,http://www.sfmfoodbank.org,900 Pennsylvania Avenue,415-282-1900,,Francisco,CA,94107
79,/find-your-local-foodbank/second-harvest-of-silicon-valley.html,Second Harvest of Silicon Valley,http://www.SHFB.org,750 Curtner Avenue,408-266-8866,,Jose,CA,95125
184,/find-your-local-foodbank/foodbank-of-santa-barbara-county.html,Foodbank of Santa Barbara County,http://www.foodbanksbc.org,4554 Hollister Avenue,805-967-5741,,Barbara,CA,93110
184,/find-your-local-foodbank/foodbank-of-santa-barbara-county.html,Food Bank Coalition of San Luis Obispo County,http://www.slofoodbank.org,1180 Kendall Road,805-238-4664,,Obispo,CA,93447
185,/find-your-local-foodbank/redwood-empire-food-bank.html,Redwood Empire Food Bank,http://www.refb.org,3990 Brickway Blvd,707-523-7900,,Rosa,CA,95403
185,/find-your-local-foodbank/redwood-empire-food-bank.html,Mendocino Food &amp; Nutrition Program,http://www.fortbraggfoodbank.org/,910 N Franklin Street,707-964-9404,,Bragg,CA,95437
185,/find-your-local-foodbank/redwood-empire-food-bank.html,Food For People,http://www.foodforpeople.org/,307 West 14th Street,707-445-3166,,Eureka,CA,95501
96,/find-your-local-foodbank/second-harvest-food-bank-santa-cruz-county.html,Second Harvest Food Bank Santa Cruz County,http://www.thefoodbank.org,800 Ohlone Parkway,831-722-7110,,Watsonville,CA,95076
96,/find-your-local-foodbank/second-harvest-food-bank-santa-cruz-county.html,Community Food Bank of San Benito County,http://communityfoodbankofsbc.org/,1133 San Felipe Road,831-637-0340,,Hollister,CA,95023
19,/find-your-local-foodbank/care-and-share-food-bank.html,Care and Share Food Bank,http://www.careandshare.org,2605 Preamble Point,719-528-1247,,Springs,CO,80915
25,/find-your-local-foodbank/food-bank-of-the-rockies.html,Food Bank of the Rockies,http://www.foodbankrockies.org,10700 E. 45th Ave,303-371-9250,,Denver,CO,80239
141,/find-your-local-foodbank/weld-food-bank.html,Weld Food Bank,http://www.weldfoodbank.org,1108 H Street,970-356-2199,,Greeley,CO,80631
110,/find-your-local-foodbank/community-food-share.html,Community Food Share,http://communityfoodshare.org/,650 S. Taylor Ave.,303-652-3663,,Louisville,CO,80027
137,/find-your-local-foodbank/food-bank-for-larimer-county.html,Food Bank for Larimer County,http://www.foodbanklarimer.org,5706 Wright Drive,970-493-4477,,Loveland,CO,80538
144,/find-your-local-foodbank/foodshare.html,Foodshare,http://www.foodshare.org,450 Woodland Avenue,860-286-9999,,Bloomfield,CT,06002
56,/find-your-local-foodbank/connecticut-food-bank.html,Connecticut Food Bank,http://www.ctfoodbank.org,2 Research Parkway,203-469-5000,,Wallingford,CT,06492
56,/find-your-local-foodbank/connecticut-food-bank.html,Gemma E. Moran United Way/ Labor Food Center,http://www.uwsect.org/,PO Box 375,860-444-8050,,Ferry,CT,06335
95,/find-your-local-foodbank/capital-area-food-bank.html,Capital Area Food Bank,http://www.capitalareafoodbank.org,4900 Puerto Rico Ave NE,202-526-5344,,Washington,DC,20017
59,/find-your-local-foodbank/food-bank-of-delaware.html,Food Bank of Delaware,http://www.fbd.org,222 Lake Drive,302-292-1305,,Newark,DE,19702
280,/find-your-local-foodbank/harry-chapin-food-bank-of-southwest-florida.html,Harry Chapin Food Bank of Southwest Florida,http://www.harrychapinfoodbank.org,3760 Fowler St.,239-334-7007,,Myers,FL,33901
563,/find-your-local-foodbank/treasure-coast-food-bank.html,Treasure Coast Food Bank,http://www.stophunger.org,401 Angle Rd.,772-489-3034,,Pierce,FL,34947
370,/find-your-local-foodbank/feeding-northeast-florida.html,Feeding Northeast Florida,http://www.FeedingNEFL.org,"1116 Edgewood Avenue North, Units D and E",904-513-1333,,Jacksonville,FL,32254
65,/find-your-local-foodbank/second-harvest-food-bank-of-central-florida.html,Second Harvest Food Bank of Central Florida,http://www.feedhopenow.org,411 Mercy Drive,407-295-1066,,Orlando,FL,32805
65,/find-your-local-foodbank/second-harvest-food-bank-of-central-florida.html,"Bread of the Mighty Food Bank
",http://www.breadofthemighty.org,325 NW 10 AVE,352-336-0839,,Gainesville,FL,32601
65,/find-your-local-foodbank/second-harvest-food-bank-of-central-florida.html,"First Step Food Bank, Inc",http://www.firststepfoodbank.org/,"4045 NE 36th Ave, PO Box 4774",312-732-5500,,Ocala,FL,34478
50,/find-your-local-foodbank/feeding-south-florida.html,Feeding South Florida,http://www.feedingsouthflorida.org,2501 SW 32 Terrace,954-518-1818,,Park,FL,33023
284,/find-your-local-foodbank/all-faiths-food-bank.html,All Faiths Food Bank,http://www.allfaithsfoodbank.org,8171 Blaikie Ct.,941-379-6333,,Sarasota,FL,34240
195,/find-your-local-foodbank/second-harvest-of-the-big-bend-inc.html,"Second Harvest of the Big Bend, Inc.",http://www.fightinghunger.org,4446 Entrepot Blvd,850-562-3033,,Tallahassee,FL,32310
90,/find-your-local-foodbank/feeding-tampa-bay.html,Feeding Tampa Bay,http://feedingtampabay.org,"4702 Transport Dr., Bldg. 6",813-254-1190,,Tampa,FL,33605
324,/find-your-local-foodbank/food-bank-of-northeast-georgia.html,Food Bank of Northeast Georgia,http://www.foodbanknega.org,861 Newton Bridge Road,706-354-8191,P.O. Box 48857,Athens,GA,30604
4,/find-your-local-foodbank/atlanta-community-food-bank.html,Atlanta Community Food Bank,http://www.acfb.org,3400 N Desert Dr,404-892-9822,,Atlanta,GA,30344
4,/find-your-local-foodbank/atlanta-community-food-bank.html,Georgia Mountain Food Bank,https://www.gamountainfoodbank.org/,"1642 Calvary Industrial Drive, SW",770-534-4111,,Gainesville,GA,30507
5,/find-your-local-foodbank/golden-harvest-food-bank.html,Golden Harvest Food Bank,http://www.goldenharvest.org,3310 Commerce Drive,706-736-1199,,Augusta,GA,30909
159,/find-your-local-foodbank/middle-georgia-community-food-bank.html,Middle Georgia Community Food Bank,http://www.mgcfb.org,4490 Ocmulgee East Boulevard,478-742-3958,PO Box 5024,Macon,GA,31217
117,/find-your-local-foodbank/feeding-the-valley-food-bank.html,Feeding the Valley Food Bank,http://www.feedingthevalley.org,6744 Flat Rock Road,706-561-4755,,Midland,GA,31820
80,/find-your-local-foodbank/americas-second-harvest-of-coastal-georgia-inc.html,"America's Second Harvest of Coastal Georgia, Inc.",http://www.helpendhunger.org,2501 East President Street,912-236-6750,,Savannah,GA,31404
291,/find-your-local-foodbank/second-harvest-of-south-georgia-inc.html,"Second Harvest of South Georgia, Inc",http://www.feedingsga.org,1411 Harbin Circle,229-244-2678,,Valdosta,GA,31601
36,/find-your-local-foodbank/hawaii-foodbank-inc.html,"Hawaii Foodbank, Inc.",http://www.hawaiifoodbank.org,2611 Kilihau St,808-836-3600,,Honolulu,HI,96819
36,/find-your-local-foodbank/hawaii-foodbank-inc.html,Maui Food Bank                                ,http://www.mauifoodbank.org,760 Kolu Street               ,808-243-9500,,,HI,96793
36,/find-your-local-foodbank/hawaii-foodbank-inc.html,"The Food Basket, Inc.",http://www.hawaiifoodbasket.org/,40 Holomua St,808-933-6030,,Hilo,HI,96720
53,/find-your-local-foodbank/river-bend-foodbank.html,River Bend Foodbank,http://www.riverbendfoodbank.org/,4010 Kimmel Drive,563-345-6490,,Davenport,IA,52802
26,/find-your-local-foodbank/food-bank-of-iowa.html,Food Bank of Iowa,http://www.foodbankiowa.org,2220 E. 17th Street,515-564-0330,P.O. Box 1517,Moines,IA,50316
114,/find-your-local-foodbank/hacap-food-reservoir.html,HACAP Food Reservoir,http://www.hacap.org,1515 Hawkeye Drive,319-393-7811,PO Box 490,Hiawatha,IA,52233
206,/find-your-local-foodbank/northeast-iowa-food-bank.html,Northeast Iowa Food Bank,http://www.northeastiowafoodbank.org,1605 Lafayette Steet,319-235-0507,PO Box 2397,Waterloo,IA,50703
109,/find-your-local-foodbank/the-idaho-foodbank.html,The Idaho Foodbank,http://www.idahofoodbank.org,3562 South TK Avenue,208-336-9643,,Boise,ID,83705
16,/find-your-local-foodbank/greater-chicago-food-depository.html,Greater Chicago Food Depository,http://www.chicagosfoodbank.org,4100 West Ann Lurie Place,773-247-3663,,Chicago,IL,60632
112,/find-your-local-foodbank/northern-illinois-food-bank.html,Northern Illinois Food Bank,http://www.SolveHungerToday.org,273 Dearborn Court,630-443-6916,,Geneva,IL,60134
84,/find-your-local-foodbank/central-illinois-foodbank.html,Central Illinois Foodbank,http://www.centralilfoodbank.org,1937 E. Cook,217-522-4022,,Springfield,IL,62703
201,/find-your-local-foodbank/eastern-illinois-foodbank.html,Eastern Illinois Foodbank,http://www.eifoodbank.org,2405 North Shore Drive,217-328-3663,,Urbana,IL,61802
201,/find-your-local-foodbank/eastern-illinois-foodbank.html,Peoria Area Food Bank,http://www.peoriafoodbank.org,721 W McBean,309-671-3906,,Peoria,IL,61605
303,/find-your-local-foodbank/hoosier-hills-food-bank.html,Hoosier Hills Food Bank,http://www.hhfoodbank.org,2333 West Industrial Park Drive,812-334-8374,PO Box 697,Bloomington,IN,47404
126,/find-your-local-foodbank/tri-state-food-bank-inc.html,"Tri-State Food Bank, Inc.",http://www.tristatefoodbank.org,801 E. Michigan Street,812-425-0775,,Evansville,IN,47711
135,/find-your-local-foodbank/community-harvest-food-bank-of-northeast-indiana-inc.html,"Community Harvest Food Bank of Northeast Indiana, Inc.",http://www.chfb.org,999 East Tillman Road,260-447-3696,P. O. Box 10967,Wayne,IN,46855
38,/find-your-local-foodbank/gleaners-food-bank-of-indiana-inc.html,"Gleaners Food Bank of Indiana, Inc.",http://www.gleaners.org,3737 Waldemere Ave.,317-925-0191,,Indianapolis,IN,46241
369,/find-your-local-foodbank/food-finders-food-bank-inc.html,Food Finders Food Bank Inc.,http://www.food-finders.org,1204 Greenbush Street,765-471-0062,,Lafayette,IN,47904
